ID;Abbreviazione;Denominazione;Benennung;Descrizione;Beschreibung;Localita;Linea;Linie;VarA;VarR;NumLin
53;BZ-ME;201 Bolzano-Merano;201 Bozen-Meran;Maia Bassa Stazione-Terlano- Bolzano (per Viale Druso);Untermais Bhf-Terlan-Bozen (ueber Drususallee);Merano-Meran;201 da Maia Bassa Staz.;201 ab Untermais Bhf.;5604;;201
54;BZ-ME;201 Bolzano-Merano;201 Bozen-Meran;Merano-Terlano-Bolzano (per Viale Druso)-Terlano-Merano;Meran-Terlan-Bozen (ueber Drususallee)-Terlan-Meran;Merano-Meran;201 via Druso;201 Drususallee;5704;5698;201
55;11 ME;211 Merano;211 Meran;Merano-Marlengo-Cermes-Lana-Postal Stazione-Lana-Cermes-Marlengo-Merano;Meran-Marling-Tscherms-Lana-Burgstall Bhf-Lana-Tscherms-Marling-Meran;Merano-Meran;211;211;5611;5611;211
56;11 ME;211 Merano;211 Meran;Merano-Marlengo-Cermes-Lana-Postal Stazione-Lana-Cermes-Marlengo-Merano;Meran-Marling-Tscherms-Lana-Burgstall Bhf-Lana-Tscherms-Marling-Meran;Merano-Meran;211 A;211 A;5602;5602;211
57;11 ME;211 Merano;211 Meran;Merano-Marlengo-Cermes-Lana-Cermes-Marlengo-Merano;Meran-Marling-Tscherms-Lana-Tscherms-Marling-Meran;Merano-Meran;211 B;211 B;5601;5601;211
58;11 ME;211 Merano;211 Meran;Merano-Marlengo-Cermes-Lana-Cermes-Marlengo-Merano;Meran-Marling-Tscherms-Lana-Tscherms-Marling-Meran;Merano-Meran;211 C;211 C;5608;5608;211
59;11 ME;211 Merano;211 Meran;Linea. scolastica: Lagundo - Merano-Marlengo-Cermes-Lana;Schuelerfahrt: Algund - Meran-Marling-Tscherms-Lana;Merano-Meran;211 Scol.;211 S.;;;211
60;12 ME;212 Merano;212 Meran;Foresta-Merano-Marlengo-Merano-Foresta;Forst-Meran-Marling-Meran-Forst;Merano-Meran;212;212;5634;5636;212
61;12 ME;212 Merano;212 Meran;Foresta-Merano-Marlengo-Merano-Foresta ;Forst-Meran-Marling-Meran-Forst;Merano-Meran;212 A;212 A;5619;5620;212
62;12 ME;212 Merano;212 Meran;Linea. scolastica: Maia Bassa Bhf-Marlengo-Lagundo-Marlengo-Maia Bassa Bhf;Schuelerfahrt: Untermais Bhf-Marling-Algund-Marling-Untermais Bhf;Merano-Meran;212 Scol.;212 S.;;;212
63;13 ME;213 Merano;213 Meran;Merano-Lagundo-Parcines-Lagundo-Merano;Meran-Algund-Partschins-Algund-Meran;Merano-Meran;213;213;5613;5613;213
64;14 ME;214 Merano;214 Meran;Sinigo Zona Artigianale-Zona Ind.-Lana-Foiana-Z.industr. Lana-Sinigo Zona Artigianale;Sinich Hanwerkerzone-Industriezone-Lana-Voellan-Lana-Industriezone Lana-Sinich Hanwerkerzone;Merano-Meran;214;214;5614;5614;214
65;14 ME;214 Merano;214 Meran;Linea scolastica: Foiana-Lana-Merano  ;Schuelerfahrt: Voellan-Lana-Meran;Merano-Meran;214 Scol.;214 S.;5632;5632;214
66;CITY LA;215 Citybus Lana;215 Citybus Lana;Lana Villa-Postal Stazione-Lana Villa;Lana Villa-Burgstall Bhf.-Lana Villa;Merano-Meran;215;215;5610;5615;215
67;CITY LA;215 Citybus Lana;215 Citybus Lana;Lana Autostazione-Lana di Sotto-Lana Autosazione;Lana Busbhf.-Niederlana-Lana Busbhf.;Merano-Meran;215 Lana di Sotto;215 Niederlana;5616;5617;215
68;CITY LA;215 Citybus Lana;215 Citybus Lana;Foiana-Lana Autostazione-Postal Stazione-Lana Autostazione-Foiana;Voellan-Lana-Burgstall-Lana-Voellan;Merano-Meran;215 Sa.Pom./Do. ;215 Sa.Nachmittag/So.;5621;5621;215
69;CITY LA;215 Citybus Lana;215 Citybus Lana;Lana Autostazione-Lana di Sotto-Postal Stazione-Lana di Sotto-Lana Autostazione;Lana Busbhf.-Niederlana-Burgstall Bhf-Niederlana-Lana Busbhf.;Merano-Meran;215 Sa.Pom./Do.;215 Sa.Nachmittag/So.;5610;5623;215
